task,group,priority,route,status,frozen,parent_package_sha,parent_model_sha,parent_memory,parent_params,parent_cost,parent_points,parent_valid,archive_present,archive_valid,archive_sha,archive_memory,archive_params,archive_cost,method_family,archive_transfer_hint,current_winner_source,winner_in_parent,examples_checked,examples_passed,output_shape_rule,input_colors,new_output_colors,rule_category,candidate_name,candidate_sha,candidate_memory,candidate_params,candidate_cost,delta_cost,delta_points,accepted,artifact_path,provenance,rejection_reason,notes
task338,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,857ebd11081aa0a0e59e42e10e11adb33cf86a537147ef2db9a9e57a86b02278,8581,267,8848,15.912053276237884,true,true,true,857ebd11081aa0a0e59e42e10e11adb33cf86a537147ef2db9a9e57a86b02278,8581,267,8848,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,267,267,same_shape,0;2,3,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task366,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,0c8e4037f1840eb8ad7cebf56bcf2971f8fd60ce8290bbbcd61cdafd3a7cf86c,29956,180,30136,14.686524250628123,true,true,true,f4110b52eb216d8105ba5e63025f96f425c4f4b8e5814403d6ab7f3574fcedaf,29956,203,30159,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,255,255,shape_change,0;1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
task367,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,f719b3a457e6aec132af040e5b898329010e991e1bdb86a5b10d56bf762ecfde,13700,226,13926,15.458487124497507,true,true,true,f719b3a457e6aec132af040e5b898329010e991e1bdb86a5b10d56bf762ecfde,13700,226,13926,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,266,266,same_shape,0;5,4,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task379,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,141d7af77cef0e3b226f145c95ffbf4b09460498bbcaa6317bf59758f282273c,6701,112,6813,16.17341216922633,true,true,true,141d7af77cef0e3b226f145c95ffbf4b09460498bbcaa6317bf59758f282273c,6701,112,6813,pool_propagation,rederive_rule_with_fewer_materialized_intermediates,batch13_parent,true,266,266,same_shape,0;2;8,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task077,C,P0,parent_winner_compression_then_independent_semantic_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,12c34d9dca484ec1455afab26cb650e7f851c5f9e2fedaedba300f03716ac324,7200,34,7234,16.113452587487956,true,true,true,99f5e5425893037413f1bfbece16fb903cb615dc1dc01b0ea30cefa7c6fb5555,7620,37,7657,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,266,266,same_shape,0;1;2;3;5;6;7;8;9,4,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task096,C,P0,parent_winner_compression_then_independent_semantic_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,a60c1a04c49a04dfdfe8403024f8c7bf95f57c1a4cad497b1a6985044eae1a34,6050,800,6850,16.16799606874373,true,true,true,0cd8a44505bf98a3ac6396525b017305d4fe361d3dc67e626e0e26f902c4c220,7260,418,7678,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,batch13_parent,true,266,266,shape_change,0;1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
task165,C,P0,parent_winner_compression_then_independent_semantic_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,cc57855f0825404a1174fc03fc801e476a38d154aa4b72d6010032fe6c599b27,4370,158,4528,16.58196438011698,true,true,true,c50cc2a83191dcc4253398e105fdb1a93278686f36d1c0ad973780e783faee14,4370,162,4532,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,265,265,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task201,C,P0,parent_winner_compression_then_independent_semantic_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,9614d093fd95f4c838c0d5e024bd0e2fd8451cfbc8eaab01fc0976ada04fc03f,2876,137,3013,16.9893084608697,true,true,true,1584a54f95d813b040a8915c77e14f9522eb2e4e0bfa70d2562563fef1198f48,2876,170,3046,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,266,266,shape_change,0;1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
task278,C,P0,parent_winner_compression_then_independent_semantic_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,1bdda62b18e59d0886467bbdb519f9b9daf66762cd739fc8b892e6b3fcb643c2,4464,39,4503,16.58750087969843,true,true,true,e009c00b12c7c4f3431b2067475df591f676847aecfb66291c10687e69500399,4464,41,4505,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,265,265,same_shape,0;2,3,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task286,C,P0,parent_winner_compression_then_independent_semantic_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,f3ec7dfca6e4f41d2bfe9370abb09c640ab5b4bbc593e5e124351ed05ce530fd,26064,815,26879,14.800899408435892,true,true,true,ceafce58bfa44bf34800a994ae174a2364ea977310fb967ad145ed534489475a,26064,845,26909,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,265,265,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task349,C,P0,parent_winner_compression_then_independent_semantic_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,eba8b72bb8ab3374554fe8f6a8f2957a84cf2fe02f7c6821d43ecc27500eb5dc,11733,747,12480,15.56811735807658,true,true,true,f7ad5e72db458e26eadd854f4a334b40a15c5374cabd9a0b8b8254bceab71999,13710,1182,14892,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,267,267,same_shape,0;9,1;3,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task364,C,P0,parent_winner_compression_then_independent_semantic_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,2d094d027b95b9f18477158e51c14e32b3d72d743acb552c57d180cfcaf6340e,14540,100,14640,15.408487212484697,true,true,true,f19018a3101987f4fabfdbdb561c99040bced6864f2b2371c29618faca94c660,14540,102,14642,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,266,266,same_shape,0;3,1;2;6,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task002,D,P0,closed_region_gap_fill_hard_margin,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,14060,225,14285,15.433034685335127,true,true,true,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,14060,225,14285,bitpacked_state_logic,pack_boolean_state_before_spatial_materialization,batch13_parent,true,268,268,same_shape,0;3,4,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task029,D,P0,scalar_location_direct_gather,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,9ceba2b29239999b047e47ac3f2c934af74bd7678676ff0d5a8ae96f6a2edb63,5208,76,5284,16.427561334357783,true,true,true,afb5f0166ba1ed3bd0bef01baca1605d07943e9a1c3766adc9284ec96d446bd3,5212,76,5288,general_tensor_graph,inspect_constant_and_shape_control_compression,batch13_parent,true,266,266,shape_change,0;1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
task074,D,P0,factorized_symmetry_transform,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,7c6770b01fbde8054bb2ca483221f1a13b69f7c8eb4888411f6bc833894b89f8,6436,1958,8394,15.964727556106464,true,true,true,7c6770b01fbde8054bb2ca483221f1a13b69f7c8eb4888411f6bc833894b89f8,6436,1958,8394,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,267,267,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task107,D,P0,fixed_geometry_low_rank_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,5852aa6aaa9900a9a59f2fa1cfeabbf18f64c8969c26a4ff4560e0a02dad4177,3420,156,3576,16.817999863706596,true,true,true,5852aa6aaa9900a9a59f2fa1cfeabbf18f64c8969c26a4ff4560e0a02dad4177,3420,156,3576,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,batch13_parent,true,266,266,shape_change,0;1;3;4;5;6;7;8;9,2,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
task133,D,P0,scalar_bbox_code_region_decode,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,db91b142552a979613e45b49c78fb587d056d9bbcc78ac8a08c6eecfcb313dcc,20258,992,21250,15.035887825647437,true,true,true,387342495b3dee33a80b27ff571cba8babb42398b79b1fb25a4bd83e2b55c536,20258,1016,21274,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,267,267,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task137,D,P0,winner_support_index_compression,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,8c66debf2f5d19abc8d31b3738fc333b550b065eb663c90f2de6a4290c8f0757,3263,123,3386,16.87259543730692,true,true,true,ca3758bf7f3244d531c543412a3700385691adebbfdc6578ecaea416561f6469,3263,126,3389,reduction_mask_logic,inspect_constant_and_shape_control_compression,batch13_parent,true,266,266,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task145,D,P0,color1_color8_local_hard_margin_fusion,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,2dbfb6f9d5ea294d2e0be0fbfd5fbb2460a1e249de794bd3bb31f95a48b4f883,12744,111,12855,15.53851188030001,true,true,true,2dbfb6f9d5ea294d2e0be0fbfd5fbb2460a1e249de794bd3bb31f95a48b4f883,12744,111,12855,pool_propagation,inspect_constant_and_shape_control_compression,batch13_parent,true,267,267,same_shape,0;2,1;8,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task173,D,P0,affine_gather_scatter_where_compression,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,804b575ba69cd27c923f1e2fe031438bd3e3a50ea0725310cea6f4e3584b494e,13307,76,13383,15.498259476203625,true,false,false,,,,,missing_archive,independent_parent_semantic_rebuild,batch13_parent,true,266,266,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task182,D,P0,winner_support_index_compression,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,d52fe5f210be17ee30353ed473d10acfc60bcff05936bbb1f6dfc9d3aa604217,6024,71,6095,16.28477595808463,true,true,true,d52fe5f210be17ee30353ed473d10acfc60bcff05936bbb1f6dfc9d3aa604217,6024,71,6095,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,267,267,same_shape,0;1;2;3;5,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task219,D,P0,color8_neighbor_to_color1_quantized_rule,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,b90add754f9a616658023f986e451508b8e06b4b471ac78d9edb79c720f19f71,8633,82,8715,15.92719904204588,true,true,true,b90add754f9a616658023f986e451508b8e06b4b471ac78d9edb79c720f19f71,8633,82,8715,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,batch13_parent,true,265,265,same_shape,0;8,1,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task359,D,P0,winner_support_index_compression,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,1dcaae87acaad08619afc4b2c37cfb4ed59e0077c8dca0a9e364e47e1fbf54e9,4269,13,4282,16.637824530850374,true,true,true,90845abfbbfb565e107a13896f223d53a39a45e948b5596ace983b8cc7033c5c,4269,15,4284,reduction_mask_logic,inspect_constant_and_shape_control_compression,batch13_parent,true,266,266,same_shape,1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task363,D,P0,winner_support_index_compression,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,8b7911803134bf1542a6840b8a059b05384cc272ff3e94dd23208eb27fe95f1b,3995,264,4259,16.643210330076787,true,true,true,993ed2e49657ad0d213afff704284101d86a3c3a79f539607b91ac88ee5ee0a0,4001,283,4284,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,265,265,same_shape,0;2;5,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task390,D,P0,winner_support_index_compression,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,4ab87ac79ff3cd60d0ee922389eb5934d9be7ddbc0c7223368585ee08d59005d,2595,104,2699,17.099363386981995,true,true,true,4ab87ac79ff3cd60d0ee922389eb5934d9be7ddbc0c7223368585ee08d59005d,2595,104,2699,general_tensor_graph,inspect_constant_and_shape_control_compression,batch13_parent,true,266,266,same_shape,0;2;5,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task058,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,8bf294b6d0f7157c902cc88a09bb647b7553cadf9c211da1f1982a8dc61c8461,18,195,213,19.638707834290575,true,true,true,8bf294b6d0f7157c902cc88a09bb647b7553cadf9c211da1f1982a8dc61c8461,18,195,213,terminal_einsum,fuse_shape_or_mask_selection_into_terminal_einsum,batch13_parent,true,22,22,same_shape,0,3,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task086,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,45318565531a011c9c377d6be1c8c153de04dcaca13542fff186630fd8d3b96b,2870,158,3028,16.98434238544266,true,true,true,45318565531a011c9c377d6be1c8c153de04dcaca13542fff186630fd8d3b96b,2870,158,3028,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,266,266,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task102,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,22ad045903cba5b5ed2617127a1ed8cf94e637ae0689f7b6253770f78bd8b7b7,2414,113,2527,17.165211892611808,true,true,true,22ad045903cba5b5ed2617127a1ed8cf94e637ae0689f7b6253770f78bd8b7b7,2414,113,2527,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,267,267,same_shape,0;5,2,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task120,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,eb3ffdb92f73a07885e28c9c854599a7a64da2ae4d978c39abe2506e11201ec2,0,910,910,18.186555400489105,true,true,true,eb3ffdb92f73a07885e28c9c854599a7a64da2ae4d978c39abe2506e11201ec2,0,910,910,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,266,266,same_shape,0;1;2;3,8,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task122,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,fb7d6bec9264605bf20d1c55db2c54c4c7e9c791d00e243876a08b14de372276,0,803,803,18.31164528605324,true,true,true,fb7d6bec9264605bf20d1c55db2c54c4c7e9c791d00e243876a08b14de372276,0,803,803,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,266,266,same_shape,0;2;3,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task124,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,f69ef1f265746b88f23bcc47cb44b440cda8460d2b121b325c09da566aa148ef,1868,74,1942,17.42852635114873,true,true,true,26b8e6ed0bf7af2854fdb0a212b36b36330a4412f71ab683aa5681c557ac0ab7,1879,74,1953,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,batch13_parent,true,267,267,shape_change,0;1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
task126,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,9237cc39bcc3eebc6e19bed132bb01c0083932c9323f8dd68f8082fe28f2d5d8,590,15,605,18.59477154196916,true,true,true,9237cc39bcc3eebc6e19bed132bb01c0083932c9323f8dd68f8082fe28f2d5d8,590,15,605,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,batch13_parent,true,266,266,same_shape,0;1;2;3;5;6;7;8;9,4,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task139,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,91725ddf78a35b874457f16c14b2a51738da36067a69ce5d43a5ef12def23d8e,16,373,389,19.036420656381555,true,true,true,91725ddf78a35b874457f16c14b2a51738da36067a69ce5d43a5ef12def23d8e,16,373,389,terminal_einsum,fuse_shape_or_mask_selection_into_terminal_einsum,batch13_parent,true,265,265,same_shape,0;4,7,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task168,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,c81135be4a029d0baee760c6f2794dd3d9e2a0066f9f6286b41415dd9e015f46,2096,141,2237,17.28710903850987,true,true,true,c81135be4a029d0baee760c6f2794dd3d9e2a0066f9f6286b41415dd9e015f46,2096,141,2237,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,265,265,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task169,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,19de1a4e6be8661d13c9f9103e149355023743e77b5e636ebddd4cd40b84f990,1500,170,1670,17.5794210945892,true,true,true,19de1a4e6be8661d13c9f9103e149355023743e77b5e636ebddd4cd40b84f990,1500,170,1670,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,266,266,same_shape,0;5,1;2;3,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task177,A,P1,shape_equation_parent_aware_rebuild,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,b7c20a0c5131a9466a63329eb801967afb3dadfea171af4227ed60c2b1a7821d,3200,47,3247,16.914513227897153,true,true,true,100d536805bbd282ce6556cb89c1e332fc442ff80ad76a9973cd9a9124b698be,3200,49,3249,general_tensor_graph,inspect_constant_and_shape_control_compression,batch13_parent,true,265,265,shape_change,0;1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
