task,cost,points,source_chars,source_lines,source_kind,source_sha256,source_path,preview
174,3947,16.719288924337153,98,1,plain,54518354de2558419fad27b5c203a0e192cc9f2ccc9939636e1aa29d494273e3,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task174.py,"p=lambda g,c=9,f=filter:[*zip(*(A:=[*f((B:={c}.issubset),zip(*f(B,g)))]))]*(A==A[::-1])or p(g,~-c)"
92,6553,16.212321760960503,100,1,plain,a4333168be1fe23259be67120b932cb63f3fb31cbd0641fd79905bfb25e84df1,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task092.py,"p=lambda g,s=lambda h:[[C or sum({*A[:B]}&{*A[B:]})for(B,C)in enumerate(A)]for A in zip(*h)]:s(s(g))"
50,3000,16.993632432349756,102,1,plain,c71f290724cc9302176d8287a2d3f1f1c46b0f8550ac7201abfb6ce259e63d19,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task050.py,"p=lambda g,k=1:-k*g or p([[C|3*(8in A[:B])*(8in A[-~B:])for(B,C)in enumerate(A)]for A in zip(*g)],k-1)"
273,580,18.636971896459535,105,6,plain,6aad8e3ea8e3164b4155ac5822e73acf496bea5b8213e693c22dc20d5ae93363,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task273.py,"def p(g): A=B=0 for C in g: try:D=C.index;A=D(4)+1;B^=D(4,A)-A except:C[A:A+B]=[2]*B return g"
250,2121,17.34035704543532,107,1,plain,f682c15ac5238925dfa45fd168686994e07dcab7c15df6ce7ec62cbd0ad0474c,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task250.py,"p=lambda i,k=3:-k*i or p([[0]*~-(A:=8-str(i).find('2')//33)+[max(B[:A]),*B[A:]]for B in zip(*i[::-1])],k-1)"
93,1656,17.587839665054794,108,1,plain,e6698a6453c46c365115287ef6f1a8e13e4b3d25b9ee3bef7c5c2f35cfc2ffc5,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task093.py,"p=lambda g,s=sorted:5in g[0]and[[5*(A>0)for A in s(A[:7])+s(A[7:])[::-1]]for A in g]or[*zip(*p([*zip(*g)]))]"
195,338,19.17695410451698,108,1,plain,fcb003dff8b2e300d698058c03c29a6b49fee1de0e598ce37855a1f1ec5dc5bc,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task195.py,"def p(I,f=filter,r=range(9)):*A,=f(any,zip(*f(any,I)));return[[A[C][B]&A[C*3%9][B*3%9]for C in r]for B in r]"
354,2064,17.367598873398546,110,4,plain,f6734559ca0482d18bede6d32b9a9eb76b81e804e24ba15a2112ffaed52b2ed4,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task354.py,"def p(g): for B in g: while 5in B:D=(*B,0).index;A=D(5);C=D(0,A);B[A:C]=[max(g[0][A:C])]*(C-A) return g"
355,274,19.38687189361193,112,1,plain,df3f1f1ff18ca331299adcd0345d8c24c7d4e8d3e14718bae80df654ed5a8d1f,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task355.py,"p=lambda g:[[sorted(range(10),key=lambda k:sum(A.count(k)-(k in A)*sum(k in A for A in zip(*g))for A in g))[1]]]"
333,2401,17.216359403778746,118,1,plain,5592a614b91c15cdbd55fcbdec1ddf0c67cc69a27fffaa71a0783a9303f45218,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task333.py,"p=lambda g:exec('g[:]=map(list,zip(*g[::-1]))\nfor r in g:\n for i in range(1,bytes(r).find(3)):r[i]|=r[i-1]\n'*4)or g"
11,318,19.23794861721982,122,1,plain,41df9b4668b82614d280a0b5555f2dcb17b41f4113ab9918dabaf4c0707f4f7f,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task011.py,"p=lambda g,i=0,r=range(11):'8'in str((A:=[[[5,g[i&12|A>>2][i%3*4|B>>2]][A&3<3>B&3]for B in r]for A in r]))and p(g,i+1)or A"
162,3499,16.83976750763231,124,4,plain,74ff3453c4001b39b7876dc257b9eee48b1d75789862cc0e6d0025c1c628913e,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task162.py,"def p(g,k=323): k and p(g,k-1);A=g[k//18:][:3];k%=18 for B in A*all(1>max(A[k:k+3])for A in A):B[k:k+3]=1,1,1 return g"
275,1349,17.792881143792243,131,1,plain,0600afdd6fd4dd9ec519352335d188ff124a9d8b8af4ef9c5bcd68cabcac8554,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task275.py,"def p(j):A=len(j[:len(j[0])]);B=range(A*A);return[[sum(j[C%A+B-A][D%A+B-A]//8*j[C//A-B][D//A-B]for B in(0,A))for D in B]for C in B]"
240,468,18.851531704082355,142,5,plain,14db527243fd18ddf5025546d9bc0bd25963f8d22e25df56e94223a002f824ac,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task240.py,"def p(g,R=range(19)): for B in R: for A in R:C,D=g[B],g[~B];C[A]|=C[~A]|D[A]|D[~A] for A in R[B+2:~B:2]:g[A][B]=C[A]=C[B+2] return g"
216,8781,15.919654424640004,150,1,plain,f662fd67973613453351634501f50cef27f4babd922204c056369e248bc3685b,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task216.py,"p=lambda a,e=enumerate:min((-str(C:=[B[A:(*E,0).index(0,A)]for B in a[B:(*D,0).index(0,B)]]).count('2'),B,A,C)for(A,D)in e(zip(*a))for(B,E)in e(a))[3]"
192,5344,16.41627028478352,151,1,plain,16e3b072d8197fb269cf560d167f01ea6a8d55f43d489e0366e5bd1d2fdb2135,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task192.py,"p=lambda g,d=enumerate:[[(A:=max(range(1,10),key=sum(g,[]).count))*(A in B[:C+2][-3:]*E*(A in[*zip(*g[:D+2])][C][-3:]))for(C,E)in d(B)]for(D,B)in d(g)]"
13,1424,17.738774908028077,153,1,plain,189de25462ff8d7110c73e01ef2d0aed3e031925264ae8f528fe8ad59e715a60,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task013.py,"p=lambda g:g[0][12:]and[*zip(*p([*zip(*g)]))]or exec('a,b=map(g.index,f:=[*filter(sum,g)]);g[a::b-a]=[[sum(r)]*len(r)for r in f*8][:len(g[a::b-a])]')or g"
138,11656,15.636423652124959,155,1,plain,3802c29ad9000fc31a9fa61e9abb6efbfe74b2239585056f9b7443eca133f618,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task138.py,"p=lambda g,k=5:-k*g or p(k//4*[*zip(*g[(B:=bytes(map(all,g))).find(1):-~B.rfind(1)])]or[A[:1]*(B:=-~bytes(A).rfind(A[0]))+A[B:]for A in zip(*g[::-1])],k-1)"
110,9682,15.821976229500361,157,1,plain,d9a57bac8243d3416a840596962443d3b70d0fde35daf917c5e9f2d9ffc7cb15,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task110.py,R=range(29);p=lambda g:next([[max(r[x]for r in g[y%Y::Y])or g[y][x+9]for x in R]for y in R]for Y in R[4:]if all(len({*c[i::Y]})<3for c in zip(*g)for i in R))
51,1744,17.536063395531073,157,1,plain,7f5aeef2adba5938ba51ed0607a3e3f1a23140264a9150b03966ffc37feae47b,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task051.py,"p=lambda g,k=3:-k*g or p([[*r][:(i:=next((i+1for i in range(len(r)-2)if r[i]==0<r[i+1]!=r[i+2]>0),99))]+[x or r[i]for x in r[i:]]for r in zip(*g[::-1])],~-k)"
12,2251,17.28087015909327,158,1,plain,8402f2e7f8b6038fa6c90cd39674206074ae3f188c1830e6f64836f726cb49e0,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task012.py,"p=lambda g:(B:=sum(g,[]),[g[(A+D)//12].__setitem__((A+D)%12,B[A-(C%23<3)])for A in range(144)if 3>B.count(B[A])for C in(2,11,13,22,24,26)for D in(C,-C)])and g"
64,8356,15.969264877323544,174,1,plain,9e7ffc116689bd3f53b348a400464dadb6ab557359109409501a6581b6204ab4,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task064.py,"p=lambda g:exec('*_,d,e=sorted(range(10),key=sum(g,[]).count)\n'+'for a in g:\n for b in range(1,bytes(a).find(d)):a[b]=a[b-(a[b]==e)]\ng[:]=map(list,zip(*g[::-1]))\n'*4)or g"
336,1820,17.493408219929158,201,6,plain,ab89c5899d6c6afab64d5e1099879e9ff53fb43294786a5dd8a658052bdc5507,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task336.py,"def p(a,T=range(10)): (C,D),*G,(E,F)=[(A,B)for A in T for B in T if a[A][B]] for A in T[C:E+1]: for B in T[D:F+1]: while~A*~B%11>0==a[A][B]:a[A][B]=8;A+=(A>C)-(A<E);B+=(B>D)-(B<F) return a"
268,2993,16.9959684921473,218,1,plain,a71ad8cd773cb50459105f6bbd251fddb44db717c41bee4d34c5b471755b2516,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task268.py,"def p(g):B=range(len(g));(C,D),*A,(F,E)=[(A,C)for A in B for C in B if g[A][C]];return g[C][D+2]and[*zip(*p([*zip(*g[::-1])]))][::-1]or[[g[A][B]|4*((A<F)*(B-D>(A<=C)<E-B)|(A<C)*(C-A-2in(B-E,D-B)))for B in B]for A in B]"
396,3559,16.822765114489805,219,1,zlib_expanded,87bccc4e7d18ea0b3a012892ebedbf0d4fe396be9eac0e8b88b2027061c3112a,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task396.py,"p=lambda p,r=range:min((u-i+b-n,[[i and sum({*sum(p,[])})-d for i in i[b:n+1]]for i in p[u:i+1]])for i in r(len(p))for n in r(len(p[0]))for u in r(i)for b in r(n)if{*p[i][b:n+1],*[*zip(*p)][b][u:i]}<{(d:=p[u][b]),0})[1]"
198,7922,16.02260102181814,228,8,zlib_expanded,409a5f193da4b77f980023f8af296b904199c9b9c932cec026401a0a657e8a6a,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task198.py,"def p(u,a=len): g=a(u) def w(p,n): if-1<p<g>n>-1<1>u[p][n]:o[p,n]=r[p]=f[n]=u[p][n]=4;w(p+1,n);w(p-1,n);w(p,n+1);w(p,n-1) for e in range(g*g): o,r,f={},{},{};w(e//g,e%g) for p,n in o:u[p][n]-=a(o)==a(r)*a(f)>1 return u"
42,3110,16.95762199482672,235,1,plain,d5eacf47f9611b67473e310e0b62ac55bcfe6f8644bdd553c34eec4137b3123d,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task042.py,"def p(g):B=range(9);D={(A,C,g[A][C:].index(0))for A in B for C in B if g[A-1][C]^3};[g[E].__setitem__(J,8)for(F,G,A)in D for C in(-A,A)if(F+A,G+C,A)in D for H in(-1,2)for I in B[:A*A]if(E:=F+H*A+I//A)<10>(J:=G+C-C*H+I%A)>-1<E];return g"
370,3607,16.80936831909646,254,5,plain,79ddf7ae35c17f8849a737e885464e507033dea9c08bfe6f2e2401902d96fdef,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task370.py,"def p(a): A=sum(a,[]);B=len(a[0]);G=sum({*A})-A[0];I,C=divmod(A.index(G),B);H=[(A//B,A%B)for(A,C)in enumerate(A)if 1>C];L,J,K=max((D*D,D,C-A)for(B,A)in H if(D:=I-B)in(C-A,A-C)) for(E,F)in H: while len(a)>(E:=E+J)>-1<(F:=F+K)<B:a[E][F]=G ret"
44,3208,16.926597031013593,276,8,zlib_expanded,74f497df6f579cab48155fa8e599f215197dac7accef0486fda83a63a7e7837b,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task044.py,"i=range(100) def p(w): a=sum(w,[]) for d in a: n=[w for w in i if a[w]==d] r=next((t for t in i if all(a[(x:=w-n[0]+t):x+1]<[1]*all(w+t in n or a[x+t:][:1]==[5]for t in(1,~0,10,~9))for w in n)),~0) for w in n*-~r:a[w],a[w-n[0]+r]=0,d return"
324,8635,15.93642100941922,316,1,zlib_expanded,c6de82a19a8355a907eb0f7f9ed8bf35a5f39944dcdc48879c332ecae13d7295,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task324.py,"p=lambda a:(t:=enumerate,n:=sum(a,[]),n:=sorted({*n},key=n.count)[-2:],u:=[(m,e)for m,e in t(a)for e,p in t(e)if{p}-{*n}],f:=[sum({*e}&{*n})%sum(n)for e in a+[*zip(*a)]],s:={f[m]or f[len(a)+e]or n[n[0]in f]:a[m][e]for m,e in u},[[(p,s.get(p"
118,8699,15.92903664449246,416,7,zlib_expanded,da159673c42c3fb03fa3b4e0d4a5096ba94ab2a1a17206b15501d5bc32fa4393,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task118.py,"def p(p): t={(l,n)for l in range(len(p))for n in range(len(p[0]))if p[l][n]&2};d=lambda i,l:[i and(d(i[1:],l)or not i[0]&l and d(i[1:],l|i[0])),l][t<=l] for n in 2,3: l=[l for d in range(len(p))for i in range(len(p[0]))for l in[{(l,n)for l "
233,30384,14.678328566947933,479,13,zlib_expanded,1b770e4ba600e09f3b0f15d0eada27f8e9fb26c219568fc4cc15cbb3715a161a,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task233.py,"def p(b,g=2,v={}): n=range(9) for y in range(len(b)-2): for x in range(len(b[0])-2): u=bytes(b[y+i//3][x+i%3]==g&2 for i in n) if g&2 and(r:=sum(l:={b[y+i//3][x+i%3]for i in n})-2)and l=={2,r}: t=[u,r] for _ in 0,0,0,0:v[u]=t;u=u[2::3]+u[1:"
