task,file,bytes,sha256,train_examples,arc_gen_examples,test_examples,input_shapes,output_shapes
task018,tasks/task018.json,679972,242709bc6ddbe2c18b65f1c37fa0f8b3c24809ac23b396881b77dd40fbe9865f,3,262,1,12x15;12x18;12x20;12x21;12x22;13x16;13x18;13x20;13x21;13x23;13x24;14x15;14x18;14x22;14x23;15x16;15x17;15x20;16x12;16x13;16x14;16x19;16x20;16x22;16x23;16x24;17x13;17x17;17x19;17x20;17x21;17x22;17x23;17x24;18x15;18x16;18x17;18x18;18x20;18x21;18x22;18x23;19x13;19x15;19x16;19x17;19x20;19x21;19x23;19x24;20x12;20x13;20x14;20x16;20x17;20x18;20x19;20x20;20x21;20x22;20x23;20x24;21x12;21x13;21x14;21x16;21x17;21x18;21x19;21x20;21x21;21x22;21x23;21x24;22x12;22x14;22x15;22x16;22x17;22x18;22x19;22x21;22x22;22x23;22x24;23x14;23x15;23x16;23x17;23x18;23x19;23x20;23x21;23x22;23x23;23x24;24x12;24x13;24x14;24x15;24x16;24x17;24x18;24x19;24x20;24x21;24x22;24x23;24x24,12x15;12x18;12x20;12x21;12x22;13x16;13x18;13x20;13x21;13x23;13x24;14x15;14x18;14x22;14x23;15x16;15x17;15x20;16x12;16x13;16x14;16x19;16x20;16x22;16x23;16x24;17x13;17x17;17x19;17x20;17x21;17x22;17x23;17x24;18x15;18x16;18x17;18x18;18x20;18x21;18x22;18x23;19x13;19x15;19x16;19x17;19x20;19x21;19x23;19x24;20x12;20x13;20x14;20x16;20x17;20x18;20x19;20x20;20x21;20x22;20x23;20x24;21x12;21x13;21x14;21x16;21x17;21x18;21x19;21x20;21x21;21x22;21x23;21x24;22x12;22x14;22x15;22x16;22x17;22x18;22x19;22x21;22x22;22x23;22x24;23x14;23x15;23x16;23x17;23x18;23x19;23x20;23x21;23x22;23x23;23x24;24x12;24x13;24x14;24x15;24x16;24x17;24x18;24x19;24x20;24x21;24x22;24x23;24x24
task019,tasks/task019.json,78793,d519ad38420c39ceac7a4e0ef4b4a936dade025f7eefcb5377f45e235ccb396d,4,262,1,2x2;2x3;2x4;2x5;2x6;3x2;3x3;3x4;3x5;3x6;4x2;4x3;4x4;4x5;4x6;5x2;5x3;5x4;5x5;5x6;6x2;6x3;6x4;6x5;6x6,10x10;10x12;10x4;10x6;10x8;12x10;12x12;12x4;12x6;12x8;4x10;4x12;4x4;4x6;4x8;6x10;6x12;6x4;6x6;6x8;8x10;8x12;8x4;8x6;8x8
task020,tasks/task020.json,176924,dadf66fc2040198fabbec529fa6a215858a9df53aa3d0bd51d27e8f810f11ea5,3,262,1,10x10,10x10
task021,tasks/task021.json,711897,e4e11a5defda67517316d91968d315e60a07d19efc98b6bbc21212a72af15b02,3,262,1,10x18;10x49;10x52;11x10;11x11;11x13;11x16;11x19;11x29;11x9;12x13;12x31;12x37;12x42;12x44;13x10;13x17;13x26;13x33;13x34;13x41;13x49;13x68;13x69;13x7;14x27;14x33;14x34;14x38;14x55;14x58;15x15;15x19;15x20;15x22;15x32;15x34;15x41;15x55;15x8;16x10;16x38;16x41;16x53;17x31;17x35;17x37;17x41;17x6;17x64;18x14;18x30;18x37;19x18;19x19;19x21;19x22;19x34;19x41;20x10;20x14;20x22;20x25;20x27;20x46;20x48;20x64;21x11;21x26;21x30;21x34;21x36;21x48;22x21;22x22;22x38;22x40;22x54;22x9;23x20;23x22;23x23;23x33;23x37;23x41;23x52;23x54;23x7;23x9;24x14;24x19;24x29;24x33;24x34;24x35;24x41;24x42;24x47;24x48;24x68;25x33;25x39;25x41;25x48;26x13;26x20;26x31;26x32;26x38;26x49;26x56;27x10;27x23;27x24;27x27;27x32;27x8;28x11;28x14;28x19;28x29;28x31;28x33;28x40;28x43;28x9;29x15;29x18;30x27;30x50;31x21;31x24;31x29;31x46;32x16;32x22;32x28;32x29;32x66;33x13;33x28;33x36;33x8;33x9;34x12;34x14;34x28;35x11;35x26;35x38;35x44;36x25;36x29;36x32;36x63;37x21;37x24;37x30;37x34;37x38;37x48;38x20;38x29;38x30;38x38;38x42;38x47;38x5;39x12;39x32;39x39;39x48;40x10;40x19;40x20;40x23;40x31;40x37;40x39;40x5;40x75;41x11;41x13;41x23;41x35;41x45;42x20;42x29;42x51;43x27;43x41;43x46;44x36;44x37;44x45;45x11;45x16;45x18;45x22;46x13;46x23;46x39;47x12;47x21;47x28;47x30;47x38;47x56;48x13;48x17;48x32;48x4;4x4;50x25;50x31;51x36;52x45;52x7;53x16;54x29;54x38;56x17;56x37;56x45;58x18;58x21;58x37;5x26;5x31;5x50;61x49;61x70;62x20;64x23;65x17;65x32;66x28;6x47;70x62;7x13;7x18;7x21;7x22;7x36;7x62;8x19;8x51;8x58;9x16;9x17;9x27;9x34;9x35;9x45;9x57,2x2;2x3;2x4;2x5;2x6;2x7;3x2;3x3;3x4;3x5;3x6;3x7;4x2;4x3;4x4;4x5;4x6;4x7;5x2;5x3;5x4;5x5;5x6;5x7;6x2;6x3;6x4;6x5;6x6;6x7;7x2;7x3;7x4;7x5;7x6;7x7
task022,tasks/task022.json,117872,b67ae228845740af8c7dcd2d56524977e07b5b19537826e4eb8ec016f42a9ad7,3,262,1,11x11,3x3
task023,tasks/task023.json,150652,5ef3c928bdd07808ba860794b6cc4a97518b8acff94b02cd4db379d98f061b1d,3,262,1,8x10;8x11;8x9;9x10;9x11;9x9,8x10;8x11;8x9;9x10;9x11;9x9
task024,tasks/task024.json,192170,db9483fc15da230b144c28682629ac975535793faafe5c8c4611335cd6cbde34,3,262,1,10x10;10x11;10x12;10x13;10x14;10x15;10x6;10x7;10x8;10x9;11x10;11x11;11x12;11x13;11x15;11x6;11x7;11x8;12x10;12x11;12x12;12x13;12x14;12x6;12x7;12x8;12x9;13x10;13x11;13x12;13x13;13x14;13x15;13x6;13x7;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x7;14x8;14x9;15x10;15x11;15x12;15x13;15x14;15x15;15x6;15x7;15x8;15x9;6x10;6x11;6x12;6x13;6x14;6x15;6x6;6x7;6x8;6x9;7x10;7x11;7x12;7x13;7x14;7x15;7x6;7x7;7x9;8x10;8x11;8x12;8x14;8x15;8x6;8x7;8x8;9x10;9x11;9x12;9x13;9x14;9x6;9x7;9x8;9x9,10x10;10x11;10x12;10x13;10x14;10x15;10x6;10x7;10x8;10x9;11x10;11x11;11x12;11x13;11x15;11x6;11x7;11x8;12x10;12x11;12x12;12x13;12x14;12x6;12x7;12x8;12x9;13x10;13x11;13x12;13x13;13x14;13x15;13x6;13x7;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x7;14x8;14x9;15x10;15x11;15x12;15x13;15x14;15x15;15x6;15x7;15x8;15x9;6x10;6x11;6x12;6x13;6x14;6x15;6x6;6x7;6x8;6x9;7x10;7x11;7x12;7x13;7x14;7x15;7x6;7x7;7x9;8x10;8x11;8x12;8x14;8x15;8x6;8x7;8x8;9x10;9x11;9x12;9x13;9x14;9x6;9x7;9x8;9x9
task025,tasks/task025.json,742788,d638674050821257284ea36ef86d4db97f447e2dce90d1b407defa9cd154fb5a,3,262,1,12x13;12x14;12x17;12x18;12x20;12x21;13x12;13x17;13x18;13x19;13x21;13x22;13x24;13x25;13x26;13x30;14x12;14x13;14x15;14x17;14x20;14x21;14x23;14x25;14x26;14x27;14x28;14x29;15x12;15x13;15x14;15x15;15x16;15x18;15x19;15x20;15x21;15x22;15x23;15x24;15x26;15x28;15x30;16x12;16x17;16x19;16x22;16x24;16x27;16x29;16x30;17x12;17x13;17x15;17x16;17x20;17x21;17x22;17x23;17x28;17x29;18x13;18x19;18x20;18x23;18x25;18x26;18x28;18x29;18x30;19x12;19x14;19x15;19x20;19x22;19x25;19x26;19x27;19x30;20x13;20x14;20x15;20x17;20x21;20x23;20x25;20x28;20x29;21x13;21x14;21x19;21x23;21x24;21x25;21x27;21x28;21x30;22x13;22x15;22x16;22x20;22x23;22x28;22x29;22x30;23x13;23x15;23x17;23x18;23x19;23x20;23x25;23x28;23x29;24x14;24x17;24x19;24x21;24x22;24x23;24x25;24x29;25x13;25x14;25x16;25x17;25x18;25x21;25x25;25x29;26x13;26x14;26x15;26x20;26x21;26x22;26x24;26x25;26x28;26x30;27x14;27x15;27x18;27x19;27x23;27x26;27x27;27x28;27x30;28x12;28x14;28x15;28x18;28x19;28x21;28x24;28x25;28x26;28x27;28x30;29x12;29x14;29x16;29x17;29x19;29x20;29x21;29x22;29x24;29x26;29x28;29x29;29x30;30x13;30x15;30x17;30x20;30x21;30x23;30x24;30x27;30x30,12x13;12x14;12x17;12x18;12x20;12x21;13x12;13x17;13x18;13x19;13x21;13x22;13x24;13x25;13x26;13x30;14x12;14x13;14x15;14x17;14x20;14x21;14x23;14x25;14x26;14x27;14x28;14x29;15x12;15x13;15x14;15x15;15x16;15x18;15x19;15x20;15x21;15x22;15x23;15x24;15x26;15x28;15x30;16x12;16x17;16x19;16x22;16x24;16x27;16x29;16x30;17x12;17x13;17x15;17x16;17x20;17x21;17x22;17x23;17x28;17x29;18x13;18x19;18x20;18x23;18x25;18x26;18x28;18x29;18x30;19x12;19x14;19x15;19x20;19x22;19x25;19x26;19x27;19x30;20x13;20x14;20x15;20x17;20x21;20x23;20x25;20x28;20x29;21x13;21x14;21x19;21x23;21x24;21x25;21x27;21x28;21x30;22x13;22x15;22x16;22x20;22x23;22x28;22x29;22x30;23x13;23x15;23x17;23x18;23x19;23x20;23x25;23x28;23x29;24x14;24x17;24x19;24x21;24x22;24x23;24x25;24x29;25x13;25x14;25x16;25x17;25x18;25x21;25x25;25x29;26x13;26x14;26x15;26x20;26x21;26x22;26x24;26x25;26x28;26x30;27x14;27x15;27x18;27x19;27x23;27x26;27x27;27x28;27x30;28x12;28x14;28x15;28x18;28x19;28x21;28x24;28x25;28x26;28x27;28x30;29x12;29x14;29x16;29x17;29x19;29x20;29x21;29x22;29x24;29x26;29x28;29x29;29x30;30x13;30x15;30x17;30x20;30x21;30x23;30x24;30x27;30x30
task026,tasks/task026.json,52294,737781c3b82277fb8330a64f785ab0fc0961e60954ad8e2d8e2b3cc93070bb8b,5,262,1,5x7,5x3
task027,tasks/task027.json,176259,08b99ff00aa636ac09424fe58f73861dfd3c92fabcc0e9909d87fa16cf3d48fe,3,261,1,10x10,10x10
task028,tasks/task028.json,176259,3c6d3132b46510dd68ddf9168088f7cd29e9def0f46eec5d8adc740f6453466d,2,262,1,10x10,10x10
task029,tasks/task029.json,319450,cf7ab086750618100b35b9a428b54e0dbe10657ef1790421f632cf5218fe852e,3,262,1,10x11;10x12;10x13;10x14;10x15;10x16;10x18;10x19;10x22;11x10;11x14;11x15;11x16;11x17;11x18;11x20;11x21;11x22;11x23;11x24;11x25;12x10;12x11;12x12;12x13;12x15;12x16;12x18;12x19;12x22;12x23;13x10;13x11;13x12;13x13;13x14;13x15;13x16;13x17;13x18;13x19;13x20;13x21;13x22;13x24;13x25;14x10;14x12;14x19;14x20;14x22;14x23;14x24;15x10;15x12;15x14;15x15;15x18;15x19;15x20;15x21;15x22;16x10;16x11;16x12;16x13;16x15;16x16;16x17;16x18;16x19;16x20;16x21;16x22;16x23;16x24;16x25;17x10;17x12;17x13;17x14;17x16;17x18;17x20;17x21;17x22;17x24;17x25;18x10;18x11;18x12;18x13;18x15;18x16;18x19;18x21;18x23;18x24;19x11;19x13;19x16;19x17;19x18;19x21;19x23;19x24;20x11;20x12;20x13;20x14;20x15;20x18;20x19;20x21;20x22;20x24;21x10;21x11;21x12;21x13;21x15;21x17;21x18;21x19;21x21;21x22;21x23;22x11;22x12;22x17;22x19;22x20;22x21;22x23;22x24;23x11;23x12;23x13;23x14;23x15;23x16;23x17;23x18;23x19;23x21;23x22;23x23;23x24;24x10;24x11;24x12;24x13;24x18;24x19;24x20;24x22;24x25;25x12;25x13;25x14;25x16;25x17;25x18;25x19;25x21;25x24;25x25,10x10;10x11;10x12;10x13;10x14;10x2;10x3;10x4;10x5;10x6;10x8;11x10;11x11;11x12;11x13;11x14;11x4;11x6;11x7;12x1;12x10;12x13;12x14;12x15;12x2;12x20;12x5;12x6;12x8;12x9;13x11;13x14;13x18;13x19;13x22;13x7;13x8;13x9;14x13;14x2;14x8;14x9;15x11;15x18;15x2;15x21;15x6;15x7;15x8;16x1;16x10;16x18;16x2;16x3;16x5;17x11;17x16;17x18;17x4;17x6;17x7;17x8;18x13;18x15;18x2;18x22;18x4;19x17;19x3;19x5;19x9;1x1;1x10;1x12;1x14;1x15;1x19;1x2;1x3;1x5;1x6;1x8;1x9;20x11;20x14;20x5;21x5;21x6;22x10;22x15;22x5;22x7;23x3;23x9;2x1;2x10;2x11;2x13;2x15;2x18;2x20;2x22;2x3;2x4;2x5;2x8;2x9;3x1;3x11;3x12;3x15;3x16;3x19;3x2;3x21;3x4;3x5;3x8;4x1;4x10;4x16;4x2;4x3;4x4;4x7;4x8;4x9;5x1;5x10;5x13;5x15;5x18;5x2;5x21;5x3;5x4;5x5;5x6;5x7;5x9;6x1;6x10;6x11;6x13;6x17;6x18;6x4;6x5;6x6;6x7;6x8;6x9;7x10;7x11;7x12;7x13;7x17;7x2;7x3;7x4;7x5;7x7;7x8;8x1;8x10;8x13;8x14;8x3;8x4;8x5;8x7;8x8;8x9;9x1;9x10;9x11;9x14;9x15;9x19;9x23;9x6;9x9
task030,tasks/task030.json,138204,e5d9348fd21329d4b72172db6d6b947bbd70ab30d38dfc7895c509c07770a5d9,3,262,1,10x10;5x10,10x10;5x10
task031,tasks/task031.json,137965,6a1503b4724f4d40fa558b044af64baed145021e33add326f59a92db7578a9da,3,262,1,10x12;11x12;12x12,3x4;3x5;3x6;3x7;3x8;4x3;4x4;4x5;4x6;4x7;4x8;5x3;5x4;5x5;5x6;6x2;6x3;6x4;6x5;6x6;6x7;7x4;7x5
task032,tasks/task032.json,52554,5f0b6ae2c763f414a3b96ea8ba728aa5e4a307c2a7a98550331a44b43f60e2d0,3,262,1,4x4;5x5;6x6,4x4;5x5;6x6
task033,tasks/task033.json,484189,b6fc1598c3a0dec9daebd66d28536de541b3dea93a232e0701f3cd2ca9afdf5c,3,261,1,17x17,17x17
task034,tasks/task034.json,146083,6fd112654644c1ca872613348cdef6405d7506478ce958a04377613361d4239e,4,262,1,9x9,9x9
task035,tasks/task035.json,176924,396275b866b36990221b0857d7bd83a89d49b875c0b4cff66233261813cf2978,3,262,1,10x10,10x10
task036,tasks/task036.json,752885,67f00d50272fdebcda557c92eb39bcc470fb1f54f55da069a95aa476a28d4ac1,2,262,1,30x30,2x3;3x2;3x3;3x4;3x5;4x3;4x4;4x5;5x3;5x4;5x5
task037,tasks/task037.json,176924,abebacf8304675c4d733eaa00be8ce672d75af1925e0f604309ab6297e9a9f5e,3,262,1,10x10,10x10
task038,tasks/task038.json,80632,48d7476b156356e1b3bd457470c501f358d76cef895abc3ae2c9fb6f4aa1e57c,3,262,1,9x9,1x5
task039,tasks/task039.json,99826,e7e59777832e9d3f34e3bf36cefe8c718af82d4d3f3c0d442e29baf65e63486b,2,261,1,10x10,3x3
task040,tasks/task040.json,176924,0150eb0edc1f7af5c4ceead75c434395e08831dd1b955d89559139c486400b6e,3,262,1,10x10,10x10
task041,tasks/task041.json,176924,dab10f6eafca3500327eae48731f9ccdc4fca37c3eccd9ec1a15ccf7455e6186,3,262,1,10x10,10x10
task042,tasks/task042.json,176924,514010b7389ff0723be73bc34ddf5f8c81339b557f3e3184c3399bfbe92f43a4,3,262,1,10x10,10x10
task043,tasks/task043.json,176924,b577936f152f9d5e2841c3bfcb2ea14f4bab849c55af13bcd19143d8a6fc8671,3,262,1,10x10,10x10
task044,tasks/task044.json,176924,d3ae902217438cc9f8a7785bab03fdb183af8092be1e0743ff976463db69c759,3,262,1,10x10,10x10
task045,tasks/task045.json,176259,99b3ad079ee899cb824820e925d670249cc20dc0ecac49c77e4266ca2fc503a4,3,261,1,10x10,10x10
task046,tasks/task046.json,67450,c56ae81e2713532925dac6534a74f788ea890d737c1607649bec7ee6a20fed78,4,262,1,3x10;3x11;3x12;3x13;3x14;3x15;3x16;3x17;3x18;3x19;3x20;3x8;3x9,3x10;3x11;3x12;3x13;3x14;3x15;3x16;3x6;3x7;3x8;3x9
task047,tasks/task047.json,144989,95d7cb8bc0982a3d32cd6ffedbfea1b403480b8605ab70193fff5c545dd139a5,2,262,1,9x9,9x9
task048,tasks/task048.json,45209,c4dbbf4a305230dddbe04ac10c9a2f6369686c5990cc3548077a64644ba6f5d2,6,262,2,5x5;5x6;5x7;5x8;6x5;6x6;6x7;6x8;7x5;7x6;7x7;7x8;8x5;8x6;8x7;8x8,1x1
task049,tasks/task049.json,209286,0d1140d08758eccf257c3f824d0e10c01871a8a5bbccb2e654d3142aa1c615fc,5,262,1,10x10;10x12;10x14;10x15;10x16;10x18;10x19;10x20;11x10;11x11;11x13;11x14;11x15;11x16;11x17;11x18;11x19;11x20;12x10;12x11;12x12;12x14;12x15;12x16;12x18;12x19;12x20;13x10;13x11;13x12;13x13;13x15;13x16;13x17;13x18;13x20;14x10;14x11;14x12;14x13;14x14;14x15;14x16;14x17;14x18;14x19;14x20;15x10;15x11;15x12;15x14;15x15;15x16;15x17;15x19;15x20;16x10;16x12;16x13;16x14;16x15;16x16;16x18;16x19;16x20;17x10;17x11;17x12;17x13;17x14;17x15;17x16;17x17;17x18;17x19;17x20;18x11;18x12;18x13;18x14;18x15;18x16;18x17;18x18;18x19;18x20;19x10;19x11;19x12;19x13;19x14;19x15;19x17;19x18;19x19;19x20;20x10;20x11;20x12;20x14;20x15;20x16;20x18;20x20,10x2;10x3;10x5;11x3;2x10;2x11;2x14;2x2;2x3;2x4;2x5;2x6;2x7;2x8;2x9;3x2;3x3;3x4;3x5;3x6;3x7;3x9;4x10;4x11;4x15;4x2;4x3;4x4;4x5;4x6;4x7;4x9;5x2;5x3;5x4;5x5;5x6;5x8;5x9;6x2;6x3;6x4;6x5;6x8;6x9;7x10;7x12;7x2;7x3;7x4;7x5;7x6;8x2;8x3;8x4;9x2;9x3
