split,index,shape,input_colors,output_colors,marker_colors,changed_cells,changed_ratio,passable_components,seeded_components,largest_component,largest_seeded_component
arc-gen,35,19x21,0 2 3 8,0 2 3 8,2 3,69,0.172932,8,1,83,73
arc-gen,36,24x20,0 4 8 9,0 4 8 9,4 9,167,0.347917,10,1,171,171
arc-gen,37,15x14,0 6 7 8,0 6 7 8,6 7,80,0.380952,5,1,83,83
arc-gen,38,12x19,0 4 5 8,0 4 5 8,4 5,96,0.421053,2,1,99,99
arc-gen,39,12x18,0 1 3 8,0 1 3 8,1 3,96,0.444444,4,1,99,99
arc-gen,40,19x13,0 5 7 8,0 5 7 8,5 7,112,0.453441,3,1,115,115
arc-gen,41,16x12,0 5 8 9,0 5 8 9,5 9,88,0.458333,3,1,91,91
arc-gen,42,25x12,0 4 7 8,0 4 7 8,4 7,121,0.403333,4,1,125,125
arc-gen,43,18x21,0 2 6 8,0 2 6 8,2 6,70,0.185185,5,1,73,73
arc-gen,44,17x21,0 4 5 8,0 4 5 8,4 5,110,0.308123,5,1,113,113
arc-gen,45,11x16,0 1 6 8,0 1 6 8,1 6,78,0.443182,8,1,81,81
arc-gen,46,17x18,0 1 8 9,0 1 8 9,1 9,51,0.166667,5,1,99,55
arc-gen,47,22x20,0 4 6 8,0 4 6 8,4 6,180,0.409091,13,1,183,183
arc-gen,48,12x16,0 2 3 8,2 3 8,2 3,90,0.468750,1,1,95,95
arc-gen,49,19x21,0 1 8 9,1 8 9,1 9,216,0.541353,1,1,219,219
arc-gen,50,16x11,0 1 2 8,0 1 2 8,1 2,74,0.420455,2,1,77,77
arc-gen,51,16x24,0 1 7 8,0 1 7 8,1 7,1,0.002604,13,1,137,3
arc-gen,52,22x11,0 3 5 8,0 3 5 8,3 5,66,0.272727,9,1,69,69
arc-gen,53,16x25,0 1 8 9,0 1 8 9,1 9,166,0.415000,5,1,169,169
arc-gen,54,12x13,0 6 8 9,6 8 9,6 9,80,0.512821,1,1,83,83
arc-gen,55,13x10,0 3 8 9,0 3 8 9,3 9,26,0.200000,8,1,29,29
arc-gen,56,18x23,0 7 8 9,0 7 8 9,7 9,188,0.454106,3,1,191,191
arc-gen,57,15x12,0 3 6 8,0 3 6 8,3 6,82,0.455556,5,1,85,85
arc-gen,58,16x18,0 2 5 8,0 2 5 8,2 5,128,0.444444,6,1,131,131
arc-gen,59,17x14,0 1 6 8,0 1 6 8,1 6,99,0.415966,4,1,103,103
arc-gen,60,16x25,0 1 3 8,0 1 3 8,1 3,42,0.105000,7,1,109,45
arc-gen,61,13x22,0 2 3 8,0 2 3 8,2 3,106,0.370629,9,1,109,109
arc-gen,62,21x17,0 3 7 8,0 3 7 8,3 7,114,0.319328,8,1,119,119
arc-gen,63,22x19,0 3 5 8,0 3 5 8,3 5,205,0.490431,2,1,209,209
arc-gen,64,22x23,0 1 8 9,0 1 8 9,1 9,205,0.405138,9,1,209,209
arc-gen,65,21x23,0 3 4 8,0 3 4 8,3 4,252,0.521739,5,1,255,255
arc-gen,66,19x11,0 1 6 8,0 1 6 8,1 6,88,0.421053,5,1,91,91
arc-gen,67,25x18,0 2 3 8,0 2 3 8,2 3,217,0.482222,4,1,221,221
arc-gen,68,13x10,0 2 8 9,0 2 8 9,2 9,12,0.092308,2,1,43,15
arc-gen,69,22x12,0 4 7 8,0 4 7 8,4 7,48,0.181818,9,1,51,51
arc-gen,70,13x17,0 3 5 8,0 3 5 8,3 5,114,0.515837,4,1,117,117
arc-gen,71,16x23,0 3 4 8,0 3 4 8,3 4,77,0.209239,13,1,81,81
arc-gen,72,25x19,0 1 8 9,0 1 8 9,1 9,150,0.315789,11,1,153,153
arc-gen,73,15x21,0 1 8 9,0 1 8 9,1 9,125,0.396825,5,1,129,129
arc-gen,74,13x19,0 7 8 9,0 7 8 9,7 9,64,0.259109,8,1,67,67
arc-gen,75,20x12,0 1 5 8,0 1 5 8,1 5,70,0.291667,8,1,73,73
arc-gen,76,16x15,0 6 8 9,0 6 8 9,6 9,104,0.433333,2,1,107,107
arc-gen,77,23x14,0 4 8 9,0 4 8 9,4 9,134,0.416149,9,1,137,137
arc-gen,78,16x22,0 3 5 8,0 3 5 8,3 5,10,0.028409,8,1,149,13
arc-gen,79,16x11,0 4 7 8,0 4 7 8,4 7,2,0.011364,7,1,51,5
arc-gen,80,15x18,0 3 5 8,0 3 5 8,3 5,118,0.437037,3,1,121,121
arc-gen,81,17x13,0 4 8 9,0 4 8 9,4 9,72,0.325792,7,1,75,75
arc-gen,82,25x21,0 2 3 8,0 2 3 8,2 3,14,0.026667,10,1,149,17
arc-gen,83,25x13,0 7 8 9,0 7 8 9,7 9,80,0.246154,5,1,83,83
arc-gen,84,18x10,0 1 7 8,0 1 7 8,1 7,22,0.122222,6,1,55,25
arc-gen,85,16x17,0 4 8 9,0 4 8 9,4 9,108,0.397059,5,1,111,111
arc-gen,86,21x21,0 2 5 8,0 2 5 8,2 5,178,0.403628,7,1,181,181
arc-gen,87,15x14,0 4 5 8,0 4 5 8,4 5,8,0.038095,13,1,27,11
arc-gen,88,25x16,0 3 4 8,0 3 4 8,3 4,181,0.452500,4,1,185,185
arc-gen,89,23x23,0 4 5 8,0 4 5 8,4 5,260,0.491493,9,1,265,265
arc-gen,90,18x15,0 2 7 8,0 2 7 8,2 7,99,0.366667,7,1,103,103
arc-gen,91,17x24,0 3 4 8,0 3 4 8,3 4,38,0.093137,16,1,67,41
arc-gen,92,11x15,0 5 8 9,0 5 8 9,5 9,62,0.375758,3,1,65,65
arc-gen,93,24x22,0 4 5 8,0 4 5 8,4 5,98,0.185606,7,1,133,101
arc-gen,94,11x23,0 7 8 9,0 7 8 9,7 9,106,0.418972,5,1,111,111
arc-gen,95,11x20,0 1 6 8,0 1 6 8,1 6,82,0.372727,2,1,85,85
arc-gen,96,13x17,0 1 5 8,0 1 5 8,1 5,71,0.321267,2,1,73,73
arc-gen,97,20x13,0 1 6 8,0 1 6 8,1 6,106,0.407692,7,1,109,109
arc-gen,98,16x13,0 1 2 8,0 1 2 8,1 2,96,0.461538,5,1,99,99
arc-gen,99,25x14,0 1 5 8,0 1 5 8,1 5,20,0.057143,13,1,97,25
arc-gen,100,19x17,0 5 8 9,0 5 8 9,5 9,63,0.195046,3,1,65,65
arc-gen,101,21x22,0 3 5 8,0 3 5 8,3 5,216,0.467532,4,1,219,219
arc-gen,102,13x24,0 5 8 9,0 5 8 9,5 9,152,0.487179,3,1,155,155
arc-gen,103,20x11,0 5 6 8,0 5 6 8,5 6,102,0.463636,6,1,105,105
arc-gen,104,20x24,0 2 4 8,0 2 4 8,2 4,202,0.420833,5,1,205,205
arc-gen,105,15x10,0 2 8 9,0 2 8 9,2 9,71,0.473333,3,1,75,75
arc-gen,106,10x15,0 1 7 8,0 1 7 8,1 7,73,0.486667,2,1,77,77
arc-gen,107,21x19,0 4 5 8,0 4 5 8,4 5,156,0.390977,11,1,161,161
arc-gen,108,20x21,0 3 5 8,0 3 5 8,3 5,4,0.009524,8,1,157,7
arc-gen,109,11x17,0 2 3 8,0 2 3 8,2 3,18,0.096257,9,1,37,21
arc-gen,110,21x21,0 2 6 8,0 2 6 8,2 6,146,0.331066,13,1,149,149
arc-gen,111,17x22,0 2 4 8,0 2 4 8,2 4,157,0.419786,6,1,161,161
arc-gen,112,13x15,0 2 3 8,0 2 3 8,2 3,90,0.461538,7,1,93,93
arc-gen,113,10x16,0 4 6 8,0 4 6 8,4 6,70,0.437500,4,1,73,73
arc-gen,114,21x23,0 3 5 8,0 3 5 8,3 5,216,0.447205,8,1,219,219
arc-gen,115,11x22,0 1 3 8,0 1 3 8,1 3,94,0.388430,3,1,97,97
arc-gen,116,21x15,0 3 7 8,0 3 7 8,3 7,16,0.050794,9,1,39,19
arc-gen,117,12x22,0 4 5 8,0 4 5 8,4 5,81,0.306818,2,1,83,83
arc-gen,118,18x10,0 1 7 8,0 1 7 8,1 7,22,0.122222,5,1,57,25
arc-gen,119,24x19,0 1 4 8,0 1 4 8,1 4,216,0.473684,7,1,219,219
arc-gen,120,17x25,0 4 7 8,0 4 7 8,4 7,93,0.218824,7,1,101,95
arc-gen,121,25x24,0 4 7 8,0 4 7 8,4 7,268,0.446667,7,1,273,273
arc-gen,122,17x10,0 7 8 9,0 7 8 9,7 9,8,0.047059,7,1,31,11
arc-gen,123,16x23,0 1 8 9,0 1 8 9,1 9,180,0.489130,2,1,183,183
arc-gen,124,22x21,0 1 3 8,0 1 3 8,1 3,156,0.337662,14,1,159,159
arc-gen,125,18x24,0 7 8 9,0 7 8 9,7 9,196,0.453704,4,1,201,201
arc-gen,126,11x20,0 1 7 8,0 1 7 8,1 7,94,0.427273,2,1,97,97
arc-gen,127,23x19,0 2 7 8,0 2 7 8,2 7,190,0.434783,2,1,193,193
arc-gen,128,18x13,0 3 6 8,0 3 6 8,3 6,71,0.303419,5,1,73,73
arc-gen,129,22x23,0 2 8 9,0 2 8 9,2 9,123,0.243083,8,1,125,125
arc-gen,130,19x24,0 2 3 8,0 2 3 8,2 3,204,0.447368,4,1,207,207
arc-gen,131,14x19,0 1 3 8,0 1 3 8,1 3,128,0.481203,3,1,131,131
arc-gen,132,24x25,0 4 5 8,0 4 5 8,4 5,214,0.356667,9,1,217,217
arc-gen,133,13x14,0 3 7 8,0 3 7 8,3 7,81,0.445055,5,1,85,85
arc-gen,134,23x13,0 5 7 8,0 5 7 8,5 7,138,0.461538,5,1,141,141
arc-gen,135,13x13,0 3 6 8,0 3 6 8,3 6,68,0.402367,5,1,71,71
arc-gen,136,14x20,0 3 7 8,0 3 7 8,3 7,75,0.267857,4,1,79,79
arc-gen,137,19x23,0 6 7 8,0 6 7 8,6 7,193,0.441648,6,1,195,195
arc-gen,138,22x17,0 4 7 8,0 4 7 8,4 7,15,0.040107,7,1,135,19
arc-gen,139,18x15,0 6 7 8,6 7 8,6 7,122,0.451852,1,1,125,125
arc-gen,140,23x17,0 3 5 8,0 3 5 8,3 5,142,0.363171,11,1,145,145
arc-gen,141,10x11,0 2 5 8,0 2 5 8,2 5,44,0.400000,2,1,47,47
arc-gen,142,15x21,0 6 8 9,0 6 8 9,6 9,21,0.066667,8,1,77,25
arc-gen,143,12x15,0 1 6 8,0 1 6 8,1 6,50,0.277778,4,1,55,55
arc-gen,144,19x11,0 1 2 8,1 2 8,1 2,104,0.497608,1,1,107,107
arc-gen,145,24x11,0 5 6 8,0 5 6 8,5 6,110,0.416667,4,1,113,113
arc-gen,146,25x21,0 2 3 8,0 2 3 8,2 3,222,0.422857,5,1,225,225
arc-gen,147,11x15,0 1 7 8,0 1 7 8,1 7,16,0.096970,11,1,19,19
arc-gen,148,25x14,0 2 7 8,0 2 7 8,2 7,175,0.500000,3,1,177,177
arc-gen,149,21x18,0 1 3 8,0 1 3 8,1 3,108,0.285714,5,1,111,111
arc-gen,150,13x25,0 6 7 8,0 6 7 8,6 7,134,0.412308,10,1,137,137
arc-gen,151,16x11,0 4 8 9,0 4 8 9,4 9,35,0.198864,3,1,39,39
arc-gen,152,13x18,0 3 6 8,0 3 6 8,3 6,25,0.106838,12,1,67,27
arc-gen,153,19x13,0 2 8 9,0 2 8 9,2 9,94,0.380567,5,1,97,97
arc-gen,154,21x13,0 1 6 8,0 1 6 8,1 6,147,0.538462,2,1,151,151
arc-gen,155,20x19,0 4 5 8,0 4 5 8,4 5,193,0.507895,3,1,195,195
arc-gen,156,11x21,0 3 7 8,0 3 7 8,3 7,70,0.303030,8,1,73,73
arc-gen,157,21x15,0 1 2 8,0 1 2 8,1 2,72,0.228571,11,1,75,75
arc-gen,158,22x12,0 6 7 8,0 6 7 8,6 7,96,0.363636,5,1,99,99
arc-gen,159,14x22,0 3 5 8,0 3 5 8,3 5,131,0.425325,8,1,133,133
arc-gen,160,13x17,0 3 7 8,3 7 8,3 7,104,0.470588,1,1,107,107
arc-gen,161,21x13,0 3 5 8,0 3 5 8,3 5,113,0.413919,6,1,117,117
arc-gen,162,10x12,0 1 5 8,1 5 8,1 5,56,0.466667,1,1,59,59
arc-gen,163,12x10,0 2 6 8,0 2 6 8,2 6,53,0.441667,2,1,57,57
arc-gen,164,12x13,0 3 4 8,0 3 4 8,3 4,66,0.423077,2,1,69,69
arc-gen,165,13x20,0 2 7 8,0 2 7 8,2 7,112,0.430769,3,1,115,115
arc-gen,166,23x15,0 4 6 8,0 4 6 8,4 6,184,0.533333,3,1,187,187
arc-gen,167,12x10,0 3 4 8,3 4 8,3 4,56,0.466667,1,1,59,59
arc-gen,168,22x19,0 7 8 9,0 7 8 9,7 9,179,0.428230,4,1,181,181
arc-gen,169,12x11,0 6 7 8,0 6 7 8,6 7,14,0.106061,8,1,41,17
arc-gen,170,20x13,0 6 7 8,0 6 7 8,6 7,92,0.353846,11,1,95,95
arc-gen,171,23x24,0 3 7 8,0 3 7 8,3 7,278,0.503623,4,1,281,281
arc-gen,172,20x18,0 3 5 8,0 3 5 8,3 5,160,0.444444,9,1,163,163
arc-gen,173,16x13,0 3 4 8,0 3 4 8,3 4,97,0.466346,3,1,99,99
arc-gen,174,24x12,0 3 5 8,0 3 5 8,3 5,53,0.184028,11,1,55,55
arc-gen,175,21x13,0 5 8 9,0 5 8 9,5 9,114,0.417582,2,1,117,117
arc-gen,176,21x10,0 2 6 8,0 2 6 8,2 6,76,0.361905,6,1,81,81
arc-gen,177,16x16,0 7 8 9,0 7 8 9,7 9,112,0.437500,3,1,115,115
arc-gen,178,22x19,0 1 2 8,0 1 2 8,1 2,182,0.435407,3,1,185,185
arc-gen,179,24x18,0 5 8 9,0 5 8 9,5 9,183,0.423611,13,1,187,187
arc-gen,180,16x17,0 1 7 8,0 1 7 8,1 7,100,0.367647,4,1,103,103
arc-gen,181,15x20,0 5 7 8,0 5 7 8,5 7,18,0.060000,6,1,95,21
arc-gen,182,18x15,0 2 4 8,0 2 4 8,2 4,128,0.474074,3,1,131,131
arc-gen,183,18x12,0 4 8 9,0 4 8 9,4 9,82,0.379630,3,1,85,85
arc-gen,184,17x12,0 5 6 8,0 5 6 8,5 6,1,0.004902,9,1,39,3
arc-gen,185,16x25,0 1 7 8,0 1 7 8,1 7,181,0.452500,10,1,185,185
arc-gen,186,11x25,0 7 8 9,0 7 8 9,7 9,100,0.363636,4,1,103,103
arc-gen,187,18x16,0 3 7 8,0 3 7 8,3 7,134,0.465278,3,1,137,137
arc-gen,188,10x18,0 2 4 8,0 2 4 8,2 4,54,0.300000,4,1,57,57
arc-gen,189,11x15,0 2 6 8,0 2 6 8,2 6,49,0.296970,11,1,51,51
arc-gen,190,20x15,0 2 6 8,0 2 6 8,2 6,131,0.436667,3,1,135,135
arc-gen,191,12x12,0 1 3 8,0 1 3 8,1 3,28,0.194444,9,1,31,31
arc-gen,192,21x18,0 4 7 8,0 4 7 8,4 7,172,0.455026,3,1,175,175
arc-gen,193,18x19,0 3 7 8,0 3 7 8,3 7,90,0.263158,15,1,93,93
arc-gen,194,14x24,0 3 6 8,0 3 6 8,3 6,94,0.279762,7,1,97,97
arc-gen,195,21x15,0 2 4 8,0 2 4 8,2 4,148,0.469841,2,1,151,151
arc-gen,196,17x10,0 4 8 9,0 4 8 9,4 9,70,0.411765,7,1,73,73
arc-gen,197,21x11,0 4 6 8,4 6 8,4 6,96,0.415584,1,1,99,99
arc-gen,198,13x12,0 2 8 9,0 2 8 9,2 9,76,0.487179,2,1,79,79
arc-gen,199,13x12,0 5 6 8,5 6 8,5 6,67,0.429487,1,1,71,71
arc-gen,200,19x18,0 2 8 9,0 2 8 9,2 9,171,0.500000,4,1,173,173
arc-gen,201,15x15,0 4 7 8,0 4 7 8,4 7,99,0.440000,6,1,101,101
arc-gen,202,12x11,0 6 8 9,0 6 8 9,6 9,64,0.484848,2,1,67,67
arc-gen,203,13x16,0 1 3 8,1 3 8,1 3,109,0.524038,1,1,111,111
arc-gen,204,13x18,0 5 8 9,0 5 8 9,5 9,120,0.512821,2,1,123,123
arc-gen,205,21x19,0 1 8 9,0 1 8 9,1 9,141,0.353383,7,1,145,145
arc-gen,206,25x25,0 3 4 8,0 3 4 8,3 4,262,0.419200,8,1,265,265
arc-gen,207,23x19,0 6 7 8,0 6 7 8,6 7,156,0.356979,9,1,159,159
arc-gen,208,11x24,0 5 8 9,0 5 8 9,5 9,7,0.026515,12,1,31,9
arc-gen,209,14x12,0 3 7 8,0 3 7 8,3 7,21,0.125000,10,1,35,25
arc-gen,210,23x14,0 3 7 8,0 3 7 8,3 7,128,0.397516,6,1,131,131
arc-gen,211,18x11,0 4 5 8,0 4 5 8,4 5,6,0.030303,7,1,59,9
arc-gen,212,16x10,0 4 5 8,0 4 5 8,4 5,74,0.462500,2,1,77,77
arc-gen,213,10x19,0 1 6 8,0 1 6 8,1 6,80,0.421053,4,1,83,83
arc-gen,214,14x20,0 1 4 8,0 1 4 8,1 4,131,0.467857,3,1,133,133
arc-gen,215,24x25,0 4 8 9,0 4 8 9,4 9,238,0.396667,13,1,241,241
arc-gen,216,12x11,0 3 4 8,0 3 4 8,3 4,30,0.227273,2,1,33,33
arc-gen,217,20x14,0 4 5 8,0 4 5 8,4 5,128,0.457143,2,1,133,133
arc-gen,218,25x24,0 1 5 8,0 1 5 8,1 5,158,0.263333,11,1,161,161
arc-gen,219,10x15,0 5 7 8,0 5 7 8,5 7,7,0.046667,4,1,51,11
arc-gen,220,14x10,0 2 8 9,0 2 8 9,2 9,64,0.457143,2,1,67,67
arc-gen,221,18x13,0 1 3 8,0 1 3 8,1 3,106,0.452991,5,1,109,109
arc-gen,222,13x11,0 1 3 8,0 1 3 8,1 3,50,0.349650,3,1,53,53
arc-gen,223,23x12,0 4 5 8,0 4 5 8,4 5,124,0.449275,3,1,127,127
arc-gen,224,18x13,0 2 4 8,2 4 8,2 4,102,0.435897,1,1,107,107
arc-gen,225,12x18,0 5 7 8,0 5 7 8,5 7,80,0.370370,6,1,83,83
arc-gen,226,16x19,0 1 8 9,0 1 8 9,1 9,126,0.414474,6,1,129,129
arc-gen,227,18x16,0 3 4 8,0 3 4 8,3 4,130,0.451389,5,1,133,133
arc-gen,228,24x11,0 5 8 9,0 5 8 9,5 9,16,0.060606,8,1,51,19
arc-gen,229,23x11,0 3 7 8,0 3 7 8,3 7,96,0.379447,3,1,99,99
arc-gen,230,18x11,0 7 8 9,0 7 8 9,7 9,20,0.101010,6,1,39,23
arc-gen,231,19x16,0 6 8 9,0 6 8 9,6 9,139,0.457237,6,1,143,143
arc-gen,232,18x15,0 2 5 8,0 2 5 8,2 5,76,0.281481,6,1,79,79
arc-gen,233,21x18,0 1 3 8,0 1 3 8,1 3,174,0.460317,4,1,177,177
arc-gen,234,21x23,0 1 7 8,0 1 7 8,1 7,64,0.132505,13,1,67,67
arc-gen,235,15x18,0 2 5 8,0 2 5 8,2 5,118,0.437037,2,1,121,121
arc-gen,236,12x13,0 4 8 9,0 4 8 9,4 9,40,0.256410,9,1,45,45
arc-gen,237,24x10,0 2 8 9,0 2 8 9,2 9,110,0.458333,4,1,113,113
arc-gen,238,25x21,0 1 6 8,0 1 6 8,1 6,258,0.491429,2,1,261,261
arc-gen,239,15x22,0 3 7 8,0 3 7 8,3 7,89,0.269697,11,1,93,93
arc-gen,240,13x21,0 6 8 9,0 6 8 9,6 9,44,0.161172,9,1,47,47
arc-gen,241,22x24,0 1 2 8,0 1 2 8,1 2,6,0.011364,13,1,185,9
arc-gen,242,16x21,0 2 5 8,0 2 5 8,2 5,164,0.488095,4,1,167,167
arc-gen,243,13x20,0 3 6 8,0 3 6 8,3 6,104,0.400000,7,1,107,107
arc-gen,244,11x15,0 5 7 8,0 5 7 8,5 7,2,0.012121,11,1,45,5
arc-gen,245,24x12,0 1 3 8,0 1 3 8,1 3,82,0.284722,6,1,85,85
arc-gen,246,20x21,0 1 4 8,0 1 4 8,1 4,182,0.433333,6,1,185,185
arc-gen,247,12x19,0 7 8 9,7 8 9,7 9,104,0.456140,1,1,107,107
arc-gen,248,15x14,0 1 5 8,0 1 5 8,1 5,83,0.395238,2,1,85,85
arc-gen,249,12x21,0 3 7 8,0 3 7 8,3 7,104,0.412698,4,1,107,107
arc-gen,250,16x23,0 1 4 8,0 1 4 8,1 4,117,0.317935,5,1,121,121
arc-gen,251,14x17,0 2 4 8,0 2 4 8,2 4,118,0.495798,3,1,121,121
arc-gen,252,13x12,0 1 7 8,1 7 8,1 7,68,0.435897,1,1,71,71
arc-gen,253,16x19,0 2 3 8,0 2 3 8,2 3,112,0.368421,6,1,115,115
arc-gen,254,22x24,0 1 2 8,0 1 2 8,1 2,252,0.477273,5,1,255,255
arc-gen,255,25x17,0 5 8 9,0 5 8 9,5 9,206,0.484706,4,1,209,209
arc-gen,256,22x18,0 3 4 8,0 3 4 8,3 4,192,0.484848,2,1,195,195
arc-gen,257,10x25,0 1 6 8,0 1 6 8,1 6,123,0.492000,2,1,127,127
arc-gen,258,17x24,0 4 5 8,0 4 5 8,4 5,194,0.475490,5,1,197,197
arc-gen,259,23x19,0 1 5 8,0 1 5 8,1 5,180,0.411899,4,1,183,183
arc-gen,260,24x14,0 2 7 8,0 2 7 8,2 7,136,0.404762,5,1,139,139
arc-gen,261,23x25,0 2 6 8,0 2 6 8,2 6,205,0.356522,5,1,209,209
