task,file,bytes,sha256,train_examples,arc_gen_examples,test_examples,priority_band,cost,points,shape_class,size_trend,color_class
task301,tasks/task301.json,89672,fee1e4b9ed22ac9083bc31673a79be948faf44c63c7f25ade91bbb36219c08a2,3,262,1,P3_ge17p5,1141,17.960340,same_shape,same_size,input_palette_only
task302,tasks/task302.json,249276,0b6aa3d3d6098849dc6680ede9fb83511aaf146b3fc164dbe9af3edc1819908a,3,262,1,P3_ge17p5,1774,17.519008,same_shape,same_size,new_output_colors
task304,tasks/task304.json,84888,74a085658f5a61b9fe4f3718e75040acc38510a01a1e8044224917d182b631ab,3,262,1,P3_ge17p5,1441,17.726907,shape_change,grow,new_output_colors
task307,tasks/task307.json,68127,25af8b36fd55f4066557c2b8b7e33923ad9d67cd19d03078de37b8bf65f0da05,3,262,1,P3_ge17p5,5,23.390562,shape_change,grow,input_palette_only
task311,tasks/task311.json,31422,f6dbddf2ec77fa1060a0e9449fd44e2252c4c09bb38538d3fd5f38a74b820c0d,3,262,1,P3_ge17p5,30,21.598803,shape_change,grow,input_palette_only
task315,tasks/task315.json,84888,803721e186cade809bd6ec541d75e7f84cd1b528e8082147fe70b2f28abc69d5,3,262,1,P3_ge17p5,230,19.561921,shape_change,grow,input_palette_only
task332,tasks/task332.json,80401,bff0b6caf2b6e49f8733aa47f49d299780792fb58fe13beb2aad1f0ec4b1c92d,4,262,1,P3_ge17p5,561,18.670279,same_shape,same_size,new_output_colors
task335,tasks/task335.json,373784,bb0ce05f10060da725d1055d95023da703853f037bf622c9e49c4bd548cda240,3,262,1,P2_16p7_17p5,3133,16.950254,same_shape,same_size,new_output_colors
task347,tasks/task347.json,31776,9aa49915def860febd734d798fbbcd3e3e45ef3cbccf35558e5de33c9862354f,5,262,2,P3_ge17p5,143,20.037155,shape_change,shrink,new_output_colors
task349,tasks/task349.json,728639,ee769a6728d92a3d52bb3c5a0f0d92b42e9e9c220aee3a0ecae352f953212c3e,4,262,1,P0_lt16,14892,15.391421,same_shape,same_size,new_output_colors
task351,tasks/task351.json,241184,d5c99656902a348bd311799c48e4a7a445ea86f1ce6e4fb218d76d895c7fd7a6,3,261,1,P3_ge17p5,1229,17.886044,shape_change,shrink,input_palette_only
task356,tasks/task356.json,176924,3022da98ae27e59bfc8d40dda63781dd5c67be96e96dd39be0f06efe579ea025,3,262,1,P3_ge17p5,1319,17.815371,same_shape,same_size,input_palette_only
task362,tasks/task362.json,177589,4266830bace07637920dc68a3512c0dafd0c8fdac7513be882fedb5fa298cb8d,4,262,1,P3_ge17p5,521,18.744250,same_shape,same_size,input_palette_only
task364,tasks/task364.json,385210,035607d795464ca9edef159859a83d71d5bbf73653286a3be875e9d372d3a8d7,3,262,1,P0_lt16,20802,15.057196,same_shape,same_size,new_output_colors
task372,tasks/task372.json,155644,6d475208540fbbd27a3dcca1d690633d89aee10f56485c62dd217b446008bf92,3,262,1,P3_ge17p5,710,18.434735,shape_change,shrink,input_palette_only
task373,tasks/task373.json,7909,3cc5b0a64102af4e8d875e061f24488311086b1e986299cc24b69fd640e6cd1b,2,72,1,P3_ge17p5,60,20.905655,same_shape,same_size,input_palette_only
task378,tasks/task378.json,158175,f87f6fba335e03a6663c718a6a8b5ca0ac9a9334033e3a9cd1b8cc2ce22f8c04,4,262,1,P1_16_16p7,4426,16.604748,same_shape,same_size,input_palette_only
task381,tasks/task381.json,176259,5f503717b8a9ab184ed9fa5daa3a97a953778b75867212f2522b5c3936d67390,3,261,1,P2_16p7_17p5,2064,17.367599,same_shape,same_size,new_output_colors
task382,tasks/task382.json,374724,da2868510e7d1b904bb470a458ed72841d6e5ffff413b2c42d5c227689919105,3,262,1,P1_16_16p7,5702,16.351428,same_shape,same_size,input_palette_only
task383,tasks/task383.json,539334,6688b142d0992099a950ce8aa56685fcff23d238d8c43d5813522c94fd219124,3,262,1,P1_16_16p7,5912,16.315261,same_shape,same_size,input_palette_only
task388,tasks/task388.json,86472,b20381cab3b3c2525ad0fdbaa3c97f5ec9363405ee8d549ec6eae01691c22654,3,262,1,P2_16p7_17p5,2190,17.308343,shape_change,grow,new_output_colors
task391,tasks/task391.json,163232,94164aae54686dc81b659202bf1d2592a74424eec11bdaa931e36a1b683ea158,4,262,1,P3_ge17p5,159,19.931096,shape_change,shrink,input_palette_only
task392,tasks/task392.json,176924,e3e6c4a1c0290475cbd0951a5544a46c18c14f96e71c0fac963471eef3bd26f6,3,262,1,P2_16p7_17p5,1941,17.429041,same_shape,same_size,new_output_colors
